ranking,university_chinese,score
1,北京大学,100
2,清华大学,99.67
3,浙江大学,80.59
4,上海交通大学,80.36
5,华中科技大学,77.19
6,南京大学,77.13
7,复旦大学,77.05
8,武汉大学,76.98
9,中国科学技术大学,72.45
10,哈尔滨工业大学,72.32
11,中国人民大学,72.16
12,南开大学,72.14
12,北京师范大学,72.14
14,天津大学,72.09
15,西安交通大学,72.08
16,985院校,71.89
17,山东大学,71.73
17,中山大学,71.73
19,北京航空航天大学,71.03
20,四川大学,70.71
21,同济大学,70.12
22,厦门大学,70.1
23,东南大学,69.82
24,吉林大学,69.8
25,西北工业大学,69.79
26,宁波诺丁汉大学,69
27,华南理工大学,68.67
28,北京师范大学－香港浸会大学联合国际学院,68.4963
29,西交利物浦大学,68.1927
30,北京理工大学,67.85
30,华东师范大学,67.85
32,中南大学,67.84
33,香港中文大学（深圳）,67.4751
34,深圳北理莫斯科大学,67.2681
35,中国农业大学,67.12
36,大连理工大学,66.21
37,兰州大学,66.19
38,电子科技大学,65.98
39,湖南大学,65.79
40,北京科技大学,64.97
40,北京协和医学院,64.97
42,重庆大学,64.93
43,昆山杜克大学,64.7082
44,武汉理工大学,64.61
45,北京交通大学,64.54
46,华东理工大学,64.38
47,华中农业大学,64.37
48,中国海洋大学,64.36
49,河海大学,64.35
50,南京理工大学,64.34
51,西南大学,64.32
52,苏州大学,64.31
52,华中师范大学,64.31
54,东北大学,64.3
54,南京师范大学,64.3
56,南京农业大学,64.18
57,西安电子科技大学,64.15
58,南京航空航天大学,64.14
59,上海纽约大学,64.0458
60,合肥工业大学,63.81
61,北京邮电大学,63.79
62,哈尔滨工程大学,63.5
63,暨南大学,63.48
64,中南财经政法大学,63.47
65,西南交通大学,63.44
66,广东以色列理工学院,63.3834
67,华南农业大学,63.29
68,西北农林科技大学,63.25
69,江南大学,63.06
70,云南大学,63.04
70,东北师范大学,63.04
72,郑州大学,63.01
72,湖南师范大学,63.01
74,西北大学,63
75,上海财经大学,62.99
76,昆明理工大学,62.98
76,深圳大学,62.98
78,东华大学,62.96
78,华南师范大学,62.96
80,燕山大学,62.94
81,北京化工大学,62.93
81,上海大学,62.93
83,宁波大学,62.92
84,南昌大学,62.9
85,扬州大学,62.89
86,北京工业大学,62.88
86,中国地质大学（武汉）,62.88
86,中国石油大学（北京）,62.88
86,首都医科大学,62.88
90,对外经济贸易大学,62.86
90,中国政法大学,62.86
92,中国矿业大学,62.83
92,陕西师范大学,62.83
94,上海理工大学,62.72
94,首都师范大学,62.72
96,福州大学,62.71
96,西南财经大学,62.71
96,211院校,62.71
99,江苏大学,62.69
100,北京林业大学,62.68
100,福建师范大学,62.68
102,南京林业大学,62.67
102,北京外国语大学,62.67
104,温州肯恩大学,62.6451
105,浙江工业大学,62.63
106,中国石油大学（华东）,62.53
106,浙江师范大学,62.53
108,南京工业大学,62.5
109,河南大学,62.34
110,武汉科技大学,62.33
110,中国传媒大学,62.33
112,中央民族大学,62.26
113,南方科技大学,62.25
114,安徽大学,62.24
114,贵州大学,62.24
116,山西大学,62.23
117,河北大学,62.22
