id,gpa,undergrad_school,app_school,gmat,gre,ielts,toefl
56291,3.44,哈尔滨工程大学,东北大学,,,,95
56282,3.7,PennsylvaniaStateUniversity--UniversityPark</td>,东北大学,,325,,
56279,3.5,重庆大学,东北大学,,320,,95
56271,3.7,浙江大学,东北大学,,320,,100
56265,3,MichiganStateUniversity,东北大学,,,,
56252,3.5,中国计量学院,东北大学,,320,,90
56238,3.52,北京理工大学,东北大学,,325,,110
56237,2.75,北京大学,东北大学,,,,105
56188,3.8,西交利物浦和利物浦大学（2+2）%,东北大学,,315,,95
56135,3.25,南开大学,东北大学,,325,,100
52930,3.5,河海大学,东北大学,,329,7,
52891,3.3,河北经贸大学,东北大学,,311,,95
50046,3.5,澳门大学,东北大学,710,,,104
50001,3.7,哥伦比亚大学,东北大学,,,,
49934,3.41,浙江某重点大学,东北大学,,320,,102
49796,3.42,北京工商大学+科克大学,东北大学,,319,,
49795,3.03,北京体育大学,东北大学,,310,,79
48571,3.34,湖南农业大学,东北大学,,299,,89
48523,2.78,星海音乐学院,东北大学,,,,
48412,3.36,大连理工大学,东北大学,650,,7,
48410,3.3,温州肯恩大学,东北大学,680,,,92
48376,3.15,汕头大学,东北大学,710,,,102
48231,3.6,武汉大学,东北大学,,320,,94
47639,3.7,韩国大学+GeorgiaInstituteofTechnology（2+2）,东北大学,720,,,
47583,3.62,北京师范大学+PierceCollege+PurdueUniversity,东北大学,,,,
47496,3.5,太原理工大学,东北大学,,321,,94
47472,3.46,浙江大学,东北大学,,326,,98
47461,3.42,宁波大学,东北大学,,319,,92
47424,3.35,温州肯恩大学,东北大学,,316,,96
47359,3.2,聊城大学,东北大学,,311,,97
47310,3.1,中北大学,东北大学,,310,,83
47263,3,天津理工大学,东北大学,,,,75
47244,2.99,东南大学,东北大学,,317,,93
47168,2.6,江南大学,东北大学,,312,,89
47105,3.77,南京财经大学,东北大学,,,,103
47055,3.27,南京理工大学,东北大学,,,,100
47047,3.27,南京邮电大学,东北大学,,,,93
47039,3.55,南京理工大学,东北大学,,,,103
47033,3.62,东南大学,东北大学,,,,97
47032,3.6,南京邮电大学,东北大学,,310,,80
47031,2.7,东南大学,东北大学,,,,74
47018,3.35,StateUniversityofNewYorkatAlbany,东北大学,,,,
47017,3.51,StateUniversityofNewYorkatAlbany,东北大学,,,,
47004,3.8,南京大学,东北大学,,,,99
46986,3.8,东南大学,东北大学,,,,106
46922,3.9,华南农业大学,东北大学,,315,,107
46921,3.2,福建师范大学,东北大学,670,,,100
46920,3.9,华侨大学,东北大学,700,,,
46918,3.8,北京航空航天大学,东北大学,,321,,110
46878,3.5,北京航空航天大学,东北大学,,334,,105
46875,3.5,吉林大学,东北大学,,322,,100
46871,3.7,吉林大学,东北大学,750,,7,
46868,3.5,西安电子科技大学,东北大学,,318,,104
46865,3.2,吉林农业大学,东北大学,,,,91
46852,3.5,北京邮电大学,东北大学,,319,,100
46780,3.4,武汉理工大学,东北大学,,,,86
46684,3.8,四川大学,东北大学,,,,110
46632,3.2,深圳大学,东北大学,,,6,
46631,3.4,深圳大学,东北大学,,,,100
46559,3,厦门大学嘉庚学院,东北大学,,,6,
46538,3.4,青岛理工大学,东北大学,,,,103
46476,3.1,美国本科,东北大学,,,,110
46425,3.2,嘉应学院,东北大学,,,,91
46270,2.7,国外某大学,东北大学,,,5.5,
46215,3.3,国内某普通大学,东北大学,,,,94
46163,3,复旦大学,东北大学,,,,81
45992,3.8,北京化工大学,东北大学,,,,
45730,3.3,中国农业大学,东北大学,650,,7,
45683,3.2,国内某重点院校,东北大学,,319,,91
45652,3.9,国内某重点院校,东北大学,,325,,105
45352,3.39,长沙理工大学,东北大学,,311,,94
43718,3,NewcastleUniversity,东北大学,680,,,
43637,3.6,天普大学,东北大学,,,,96
43596,3.958,东北大学（美国）,东北大学,740,,,111
43572,3.3,内蒙古大学,东北大学,,307,,88
43547,3.02,河海大学,东北大学,,319,,93
43535,3.44,中国科学技术大学,东北大学,,311,,97
43468,3.3,武汉理工大学,东北大学,,310,,101
43422,3.4,华中科技大学,东北大学,,320,,105
43398,3.3,中南大学,东北大学,,323,,93
46182,3.2,985院校,东北大学,326,,,108
45679,3,211院校,东北大学,,,,90
51007,2.8,二本院校,东北大学,,,,90
50699,3.6,二本院校,东北大学,,,7,
50177,3,二本院校,东北大学,,,,88
43303,3.4,大连理工大学,东北大学,,317,,97
43261,3.5,四川大学,东北大学,,321,,99
43248,3.6,上海交通大学,东北大学,,,,97
43230,3.4,南开大学,东北大学,,316,,110
43134,3.4,吉林大学,东北大学,,315,,90
43095,3.4,山东大学威海分校,东北大学,670,,,100
43033,3,南京大学,东北大学,,315,,102
42439,3.1,上海大学,东北大学,,317,,91
42413,2.6,浙江大学,东北大学,,317,,102
42392,3.69,重庆大学,东北大学,,325,,99
42385,3.6,武汉大学,东北大学,,326,,105
40790,2.66,密歇根州立大学,东北大学,,310,,
40787,3.47,南京审计大学,东北大学,650,,,98
40784,2.6,上海交通大学,东北大学,,323,,101
40768,3.9,华北电力大学,东北大学,,326,,100
40699,3.1,西安交通大学,东北大学,,313,,89
40668,3.1,北京师范大学香港浸会大学联合国际学院,东北大学,,323,,111
40625,3.7,广东外语外贸大学,东北大学,710,,,100
40513,3.7,韩国学校+GeorgiaInstituteofTechnology（2+2项目）,东北大学,720,,,
40504,3.3,温州肯恩大学,东北大学,680,,,92
40361,3.4,北京大学,东北大学,,312,,100
56126,2.75,BostonUniversity,东北大学,,330,,
56103,2,MiamiUniversity--Oxford,东北大学,,,,
